% Model:              Roman - nanowires vs lenght LT.mph
% Version:            COMSOL 5.1.0.234
% Date:               Aug 1 2017, 15:42
% Table:              Accumulated Probe Table 5 - 
% rh                     t                        k1                       Temperature (K), Point: (-5, 5, 207.5)
60                       8.6E-6                   0.013                    4.06499033031743
60                       8.7E-6                   0.013                    4.060576949057715
60                       8.8E-6                   0.013                    4.056463271629477
60                       8.9E-6                   0.013                    4.0526289480583015
60                       9.0E-6                   0.013                    4.049055005970701
60                       9.100000000000001E-6     0.013                    4.045723764860902
60                       9.2E-6                   0.013                    4.042618742070343
60                       9.3E-6                   0.013                    4.039724576507456
60                       9.4E-6                   0.013                    4.03702694840816
60                       9.5E-6                   0.013                    4.034512511902572
60                       9.6E-6                   0.013                    4.032168826238657
60                       9.7E-6                   0.013                    4.029984296441875
60                       9.800000000000001E-6     0.013                    4.027948114169243
60                       9.9E-6                   0.013                    4.026050205668405
60                       1.0E-5                   0.013                    4.0242811807845245
60                       -1.0000000000000002E-6   0.014                    3.9999999999999996
60                       -9.000000000000002E-7    0.014                    3.9999999999999996
60                       -8.000000000000002E-7    0.014                    3.9999999999999996
60                       -7.000000000000001E-7    0.014                    4.000000000000001
60                       -6.000000000000002E-7    0.014                    3.9999999999999996
60                       -5.000000000000001E-7    0.014                    3.9999999999999996
60                       -4.000000000000001E-7    0.014                    4.000000000000001
60                       -3.000000000000001E-7    0.014                    3.9999999999999996
60                       -2.000000000000001E-7    0.014                    3.9999999999999996
60                       -1.000000000000001E-7    0.014                    4.000000000000001
60                       0                        0.014                    3.9999999999999996
60                       9.999999999999989E-8     0.014                    5.661823766118062
60                       2.0E-7                   0.014                    7.175086343172865
60                       2.999999999999999E-7     0.014                    8.58336842116684
60                       4.0E-7                   0.014                    9.90863997513512
60                       4.999999999999999E-7     0.014                    11.159044847565387
60                       6.0E-7                   0.014                    12.32586407399716
60                       7.000000000000001E-7     0.014                    13.410112939378093
60                       8.0E-7                   0.014                    14.416489730490685
60                       9.000000000000001E-7     0.014                    15.350141003904094
60                       1.0000000000000002E-6    0.014                    16.216950725233456
60                       1.1E-6                   0.014                    15.927393799602992
60                       1.2E-6                   0.014                    15.213914591768404
60                       1.2999999999999998E-6    0.014                    14.501223881965633
60                       1.4000000000000001E-6    0.014                    13.768015756387612
60                       1.5E-6                   0.014                    13.085370887878835
60                       1.6E-6                   0.014                    12.448403502730795
60                       1.7000000000000002E-6    0.014                    11.857979746407278
60                       1.8000000000000001E-6    0.014                    11.308822508068452
60                       1.9E-6                   0.014                    10.796407070068122
60                       2.0E-6                   0.014                    10.319838307217353
60                       2.1000000000000002E-6    0.014                    9.86734626412252
60                       2.2E-6                   0.014                    9.443786142641656
60                       2.3E-6                   0.014                    9.049767445440336
60                       2.4000000000000003E-6    0.014                    8.683872727707714
60                       2.5E-6                   0.014                    8.34436224026333
60                       2.6E-6                   0.014                    8.029146450563175
60                       2.7E-6                   0.014                    7.736747648818212
60                       2.8000000000000003E-6    0.014                    7.465734235842994
60                       2.8999999999999998E-6    0.014                    7.214439180684069
60                       3.0000000000000005E-6    0.014                    6.981385386093578
60                       3.1000000000000004E-6    0.014                    6.76523486150212
60                       3.2000000000000003E-6    0.014                    6.564571124405639
60                       3.3E-6                   0.014                    6.378448610788286
60                       3.4E-6                   0.014                    6.205805433376441
60                       3.5E-6                   0.014                    6.04602458302403
60                       3.6E-6                   0.014                    5.897987475692176
60                       3.7000000000000006E-6    0.014                    5.760709584525163
60                       3.8000000000000005E-6    0.014                    5.633366106741415
60                       3.9E-6                   0.014                    5.515215654956987
60                       4.000000000000001E-6     0.014                    5.405600824217763
60                       4.1E-6                   0.014                    5.303905576134929
60                       4.2000000000000004E-6    0.014                    5.2095658269673395
60                       4.2999999999999995E-6    0.014                    5.122049365362636
60                       4.4E-6                   0.014                    5.040866163591258
60                       4.500000000000001E-6     0.014                    4.965556357927382
60                       4.6E-6                   0.014                    4.895696445974513
60                       4.700000000000001E-6     0.014                    4.830890707246628
60                       4.8E-6                   0.014                    4.770774324236649
60                       4.9000000000000005E-6    0.014                    4.715007146373289
60                       4.9999999999999996E-6    0.014                    4.663275110180439
60                       5.1E-6                   0.014                    4.615285749172758
60                       5.200000000000001E-6     0.014                    4.570768686494009
60                       5.3E-6                   0.014                    4.529472370714083
60                       5.400000000000001E-6     0.014                    4.491164040814787
60                       5.5E-6                   0.014                    4.455627300780013
60                       5.600000000000001E-6     0.014                    4.422661790230373
60                       5.7E-6                   0.014                    4.392081340130979
60                       5.8E-6                   0.014                    4.363713495115788
60                       5.900000000000001E-6     0.014                    4.337398081610646
60                       6.0E-6                   0.014                    4.312986671809168
60                       6.100000000000001E-6     0.014                    4.2903414512762446
60                       6.2E-6                   0.014                    4.269334677518156
60                       6.300000000000001E-6     0.014                    4.249847769711062
